序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-电话,备注
1,上海交通大学,,985,公办,,,,,,,,,,,,,,
2,东南大学,,985,公办,,https://www.seu.edu.cn/47291/list.htm,,,,https://www.seu.edu.cn/yjsy/,,,,,,,,
3,中南大学,,985,公办,,https://www.csu.edu.cn/zsjy.htm,,homepage@csu.edu.cn,0731-88876114,http://gra.csu.edu.cn,,,,https://iecd.csu.edu.cn/,,,,
4,中国人民大学,,985,公办,,,,,,https://www.ruc.edu.cn/yanjiushengpeiyang.html,,,0402430004,https://pgs.ruc.edu.cn/gats.htm,,,0402430004,
5,中国农业大学,,985,公办,,https://www.cau.edu.cn/zsjy/index.htm,,xwzx@cau.edu.cn,,https://www.cau.edu.cn/jyjx/yjsjy/index.htm,,,,,,,,
6,中国海洋大学,,985,公办,,http://career.ouc.edu.cn/default.html,,,15028551517; 13432724776; 15087259867,http://grad.ouc.edu.cn/13039/list.htm,,yjsy@ouc.edu.cn,,https://www.ouc.edu.cn/31816/list.htm,,news@ouc.edu.cn,021202000030,
7,中国科学技术大学,,985,公办,,,,,,https://gradschool.ustc.edu.cn/,,yjsy@ustc.edu.cn,0551-63601958,,,,,
8,中央民族大学,,985,公办,,https://www.muc.edu.cn/zsjy/zs/bykzs.htm,,,010-68932442,,,,,https://www.muc.edu.cn/gjjl.htm,,,010-68932442,
9,兰州大学,,985,公办,,,,,,,,,,,,,,官网不可达：requests失败
10,北京大学,,985,公办,,,,,,https://www.pku.edu.cn/recruit.html#undergraduate,,its@pku.edu.cn,0402430047,https://www.pku.edu.cn/recruit.html#overseasStudent,,its@pku.edu.cn,0402430047,
11,北京师范大学,,985,公办,,https://www.bnu.edu.cn/zsjy/index.htm,,,040102700202,http://jwb.bnu.edu.cn/,,jwb@bnu.edu.cn,,http://oiec.bnu.edu.cn/,,,010-58808285,
12,北京理工大学,,985,公办,,https://www.bit.edu.cn/zsjysjb/index.htm,,,,http://grd.bit.edu.cn/,,grd@bit.edu.cn,,http://abroad.bit.edu.cn/,,,0402430044,
13,北京航空航天大学,,985,公办,,https://www.buaa.edu.cn/zsjy.htm,,,,https://www.buaa.edu.cn/jyjx/yjsjy1.htm,,,,,,,,
14,华东师范大学,,985,公办,,https://career.ecnu.edu.cn/,,,,https://yjszs.ecnu.edu.cn/,华东师大研招（ECNUyjs）,yjszs@admin.ecnu.edu.cn,021-54344721,http://lxs.ecnu.edu.cn/,,format; lxs@ecnu.edu.cn,,
15,华中科技大学,,985,公办,,https://www.hust.edu.cn/zsjy.htm,,,027-87541114,http://gs.hust.edu.cn/,,yzxx@hust.edu.cn,027-87542152,https://www.hust.edu.cn/hzjl/gjjl.htm,,,027-87541114,
16,南京大学,,985,公办,,https://www.nju.edu.cn/zsjy/zs.htm,,webmaster@nju.edu.cn,,https://yzb.nju.edu.cn/47831/list.htm,,,,https://wb.nju.edu.cn/main.htm,,oice@nju.edu.cn,,
17,南开大学,,985,公办,,https://www.nankai.edu.cn/239/list.htm,,,,http://graduate.nankai.edu.cn,,,,https://www.nankai.edu.cn/236/list.htm,,,,
18,厦门大学,,985,公办,,http://jy.xmu.edu.cn/,,jiuyezhaopin@xmu.edu.cn,0592-2184550,http://gs.xmu.edu.cn/,,YJSY@XMU.EDU.CN,0592-2186259,https://ice.xmu.edu.cn/,,,0592-2180240,
19,同济大学,,985,公办,,https://www.tongji.edu.cn/zsjy.htm,,newscenter@tongji.edu.cn,009102000038,http://gs.tongji.edu.cn/,,,,http://fao.tongji.edu.cn/,,,+8621-65982612,
20,四川大学,,985,公办,,,,,,,,,,,,,,官网不可达：requests失败
21,国防科技大学,,985,公办,,https://www.nudt.edu.cn/zsjy/index.htm,国防科大,English,0731-84576114; 0731-87027137; 0731-87027139,http://yjszs.nudt.edu.cn/index/index.view,,,,,,,,
22,复旦大学,,985,公办,,https://www.fudan.edu.cn/2019/0506/c431a103172/page.htm,,career@fudan.edu.cn,8621-65642288; 021-65642222,https://www.fudan.edu.cn/516/list.htm,,,021-65642222,https://ogp.fudan.edu.cn/16077/list.htm,,,021-65642260; 021-65649524,
23,天津大学,,985,公办,,https://www.tju.edu.cn/zsjy.htm,官方微信号,,,https://www.tju.edu.cn/zsjy.htm#zsjy03,官方微信号,,,https://www.tju.edu.cn/gjjl.htm,官方微信号,,,
24,山东大学,,985,公办,,https://www.job.sdu.edu.cn/,,,,https://www.grad.sdu.edu.cn/,,pgs@sdu.edu.cn,,https://www.ipo.sdu.edu.cn/,,,,
25,武汉大学,,985,公办,,,,,,https://www.whu.edu.cn/rcpy.htm#md2,,,027-68752059,https://www.whu.edu.cn/jlhz.htm#md21,,,027-68752059,
26,浙江大学,,985,公办,,,,,,,,,,,,,,
27,清华大学,,985,公办,,https://www.tsinghua.edu.cn/zsjy.htm,,webmaster@tsinghua.edu.cn,010-62793001; 0402430053,https://www.tsinghua.edu.cn/jyjx/yjsjy.htm,,webmaster@tsinghua.edu.cn,010-62793001; 0402430053,https://www.tsinghua.edu.cn/hzjl/gjhz.htm,,webmaster@tsinghua.edu.cn,010-62793001; 0402430053,
28,湖南大学,,985,公办,,https://www.hnu.edu.cn/zsjy.htm,,xiaoban@hnu.edu.cn,,http://gra.hnu.edu.cn/,,,0731-88821224（,http://wsc.hnu.edu.cn/,,,0731-88823974,
29,电子科技大学,,985,公办,,https://jiuye.uestc.edu.cn/career/,用人单位,jyzdzx@uestc.edu.cn,028-61831789,https://gr.uestc.edu.cn/,,,,,,,,
30,西北农林科技大学,,985,公办,,https://www.nwafu.edu.cn/zsjy/index.htm,,zhaoshb@nwafu.edu.cn; zhsh@nwafu.edu.cn; admission@nwafu.edu.cn,029-87080152; 029-87080151; 029-87080155,http://yjshy.nwsuaf.edu.cn/,,ybgsh@nwafu.edu.cn,02504100006; 029-87080155,https://gjc.nwsuaf.edu.cn/,,ipo@nwsuaf.edu.cn,+86-29-87082857,
31,西北工业大学,,985,公办,,http://job.nwpu.edu.cn/home.do,,,,http://gs.nwpu.edu.cn/,Copyright,gs@nwpu.edu.cn,029-88430620; 029-88493641; 029-88430618,http://npuinternationalcollege.nwpu.edu.cn/,,icoffice@nwpu.edu.cn,,
32,西安交通大学,,985,公办,,http://job.xjtu.edu.cn/,,,,https://www.xjtu.edu.cn/rcpy/yjsjy.htm,,,,https://www.xjtu.edu.cn/gjjl/gjhzyjlc.htm,,,,
33,重庆大学,,985,公办,,https://www.cqu.edu.cn/zsjy.htm,,,001060250313; 000004000026,http://graduate.cqu.edu.cn/,,,,http://intex.cqu.edu.cn/,,,,
34,上海外国语大学,,211,公办,,https://www.shisu.edu.cn/admissions/index.html,,,,,,,,https://www.shisu.edu.cn/global/index.html,,,,
35,上海大学,,211,公办,,https://www.shu.edu.cn/zsjy.htm,,,021-96928188; 009102000049,https://yjszs.shu.edu.cn/,,,02166133763,https://global.shu.edu.cn/,上海大学留学生公众号,,66131383,
36,上海财经大学,,211,公办,,https://career.sufe.edu.cn/,,jyzd@mail.shufe.edu.cn,021-65904215,https://gs.sufe.edu.cn/,,yjsy@mail.shufe.edu.cn; yzb@mail.shufe.edu.cn,021-65904625; 021-65903795,,,,,
37,东华大学,,211,公办,,http://ejob.dhu.edu.cn/,扫描左侧二维码获取最新资讯,pluswin6@pluswin-china.com; houzhiqi@sh.chinalife-p.com.cn; job@dhu.edu.cn,021-67792486,http://gs.dhu.edu.cn/,,yjsdep@dhu.edu.cn,,http://ico.dhu.edu.cn/,,ico@dhu.edu.cn,,
38,中南财经政法大学,,211,公办,,https://www.zuel.edu.cn/recruit_jobs/,,,018502002264,http://yjsy.zuel.edu.cn/,,,,https://gjc.zuel.edu.cn/,,,,
39,中国传媒大学,,211,公办,,https://www.cuc.edu.cn/zsjy/list.htm,,,0402430031,http://www.cuc.edu.cn/9998/list.htm#rc-main2,,,0402430031,https://international.cuc.edu.cn/,,,0402430031,
40,中国地质大学（北京）,,211,公办,,http://jiuye.cugb.edu.cn/,,jyxsc@126.com,909355733,https://graduate.cugb.edu.cn,,,,,,,,
41,中国地质大学（武汉）,,211,公办,,https://www.cug.edu.cn/zsjy.htm,,,011102004169,http://graduate.cug.edu.cn/,,,027-67885151,,,,,
42,中国政法大学,,211,公办,,,,,,,,,,,,,,
43,中国石油大学（北京）,,211,公办,,http://career.cup.edu.cn/,,cupjiuye@qq.com; job89731016@163.com,010-89733499; 010-89731016,https://grs.cup.edu.cn/,邮编,,,https://www.cup.edu.cn/overseas/index.htm,,admission@cup.edu.cn; cie.office@cup.edu.cn; cie.dailyservices@cup.edu.cn,+8610-89733796; +8610-89733474; +8610-89733979,
44,中国石油大学（华东）,,211,公办,,https://career.upc.edu.cn/,,,,http://gs.upc.edu.cn/,,,08403691997,http://io.upc.edu.cn/,,mail@upc.edu.cn,0532-86988698,
45,中国矿业大学,,211,公办,,http://www.91job.org.cn/sub-station/home/10290,,,,http://gs.cumt.edu.cn/,,,,https://global.cumt.edu.cn/,,master@cumt.edu.cn,,
46,中国矿业大学（北京）,,211,公办,,https://www.cumtb.edu.cn/zsjy.htm,,,0402430067,http://yjs.cumtb.edu.cn/,,,,http://international.cumtb.edu.cn/,,,,
47,中国药科大学,,211,公办,,http://cpu.91job.org.cn,,,,http://yjsy.cpu.edu.cn/,,,,http://gjc.cpu.edu.cn/,,,,
48,中央财经大学,,211,公办,,https://www.cufe.edu.cn/zsjy.htm,,,0402430071,http://gs.cufe.edu.cn/,,,,http://int.cufe.edu.cn/,,,62288337,
49,中央音乐学院,,211,公办,,https://www.ccom.edu.cn/zsyjy.htm,,,0402430057,,,,,https://www.ccom.edu.cn/info/18061/267901.htm,,,0402430057,
50,云南大学,,211,公办,,http://jobs.ynu.edu.cn/,微信二维码(单独二维码),ydxsjyzx@126.com,0871-65148526; 0871-65033859; 0871-65931992,http://www.grs.ynu.edu.cn/,,,,http://english.ynu.edu.cn/,,,,
51,内蒙古大学,,211,公办,,http://zhaosheng.imu.edu.cn/,,ndzsb@imu.edu.cn,,https://gs.imu.edu.cn/,,ndgs@imu.edu.cn,,http://ice.imu.edu.cn/,,fao@imu.edu.cn,0471-4995756,
52,北京中医药大学,,211,公办,,https://www.bucm.edu.cn/zsjy1/index.htm,,,0402430041,http://yanjiusheng.bucm.edu.cn/,,,0402430041,http://bkzs.bucm.edu.cn/,,zs@bucm.edu.cn,010-64286231; 0402430041,
53,北京交通大学,,211,公办,,http://job.bjtu.edu.cn/,,jyb113@126.com; bjtujobwx@126.com; bjtujob@163.com,010-51688431; 010-51685913; 010-51682911,https://yzb.bjtu.edu.cn/,,bjtuzgxy@bjtu.edu.cn,04024300059,http://intl.bjtu.edu.cn/,,bjtu-intl@bjtu.edu.cn,010-51688312,
54,北京体育大学,,211,公办,,https://www.bsu.edu.cn/zsjy/index.htm,,,,https://www.bsu.edu.cn/kxyjsy/index.htm,,xiaoban@bsu.edu.cn,040202430168; 14015216941; 13585035162,http://wsc.bsu.edu.cn/,,wsc@bsu.edu.cn,,
55,北京化工大学,,211,公办,,https://www.buct.edu.cn/zsjy_11437/list.htm,,news@mail.buct.edu.cn,0402430060,http://graduate.buct.edu.cn/,,,,https://iecd.buct.edu.cn,,,,
