序号,省份,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-领导及邮箱,国际处-电话,理工学院数,理工学院明细,备注
1,上海市,上海交通大学,,985,公办,4,,,,,,,,,https://global.sjtu.edu.cn/,,globalsjtu@sjtu.edu.cn,"尹海涛 处长、港澳台办公室主任: htyin@sjtu.edu.cn
尹海涛 处长: htyin@sjtu.edu.cn
马威 副处长: mawei@sjtu.edu.cn
王茜 副处长: wang_qian@sjtu.edu.cn
谢玮 副处长: wxie@sjtu.edu.cn
王冲 副处长: chongwang@sjtu.edu.cn
庄恩嘉",021-34206753,28,"船舶海洋与建筑工程学院 | http://naoce.sjtu.edu.cn | 邮箱:oceaa@sjtu.edu.cn | 电话:86-21-34205291
机械与动力工程学院 | http://me.sjtu.edu.cn | 邮箱:mengqi_liu.77@sjtu.edu.cn; sjtume@sjtu.edu.cn
电子信息与电气工程学院 | http://www.seiee.sjtu.edu.cn | 邮箱:seiee@sjtu.edu.cn | 电话:）252023-09
电气工程学院 | https://see.sjtu.edu.cn | 邮箱:see@sjtu.edu.cn | 电话:）2026-07-31
自动化与感知学院 | https://sais.sjtu.edu.cn/ | 邮箱:saisaa@alumni.sjtu.edu.cn | 电话:021-34204022
材料科学与工程学院 | http://smse.sjtu.edu.cn
环境科学与工程学院 | http://sese.sjtu.edu.cn | 邮箱:sese@sjtu.edu.cn | 电话:021-54741065
航空航天学院 | http://www.aero.sjtu.edu.cn | 邮箱:aeroAA@alumni.sjtu.edu.cn | 电话:17269706141
数学科学学院 | http://www.math.sjtu.edu.cn | 电话:(86-21)54740227; (+86-21)54740227
化学化工学院 | http://scce.sjtu.edu.cn | 邮箱:scceAA@alumni.sjtu.edu.cn
海洋学院 | http://soo.sjtu.edu.cn/ | 电话:021-54741709
生命科学技术学院 | http://life.sjtu.edu.cn | 电话:0622586757
巴黎卓越工程师学院 | http://speit.sjtu.edu.cn | 邮箱:xxx@nies.edu.cn
智慧能源创新学院 | http://www.senergy.sjtu.edu.cn/ | 电话:13407585486; 18018759668; 8621-64355111
溥渊未来技术学院 | https://gift.sjtu.edu.cn/ | 电话:021-54741175
人工智能学院 | https://soai.sjtu.edu.cn/ | 邮箱:aischool@sjtu.edu.cn | 电话:021-33687201; 021-33687203; 021-33687205
心理学院 | https://psychology.sjtu.edu.cn/ | 邮箱:psy@sjtu.edu.cn | 电话:021-54560309
自然科学研究院 | https://ins.sjtu.edu.cn/
能源研究院 | http://energy.sjtu.edu.cn/
汽车工程研究院 | https://www.sjtu.edu.cn/
医疗机器人研究院 | https://imr.sjtu.edu.cn/
人工智能研究院 | http://ai.sjtu.edu.cn/
元知机器人研究院 | https://mri.sjtu.edu.cn/ | 邮箱:sjturi@sjtu.edu.cn
国家卓越工程师学院 | https://ngcee.sjtu.edu.cn/ | 邮箱:gs.zjb@sjtu.edu.cn; rara@sjtu.edu.cn; fangjing@sjtu.edu.cn
科学技术发展研究院 | https://keyan.sjtu.edu.cn/ | 电话:021-34206808
先进产业技术研究院 | http://aitri.sjtu.edu.cn/ | 邮箱:aitri@sjtu.edu.cn | 电话:009102000045
智能传播研究院 | https://ici.sjtu.edu.cn/ | 邮箱:dakewang@sjtu.edu.cn
深远海科学与工程研究院 | https://most.sjtu.edu.cn/ | 邮箱:syhss@sjtu.edu.cn",
2,上海市,华东师范大学,,985,公办,29,https://career.ecnu.edu.cn/,,,,https://yjszs.ecnu.edu.cn/,华东师大研招（ECNUyjs）,yjszs@admin.ecnu.edu.cn,021-54344721,http://lxs.ecnu.edu.cn/,,lxs@ecnu.edu.cn,金丽君 副主任（会议。欢送会在温情满满的毕业回顾视频中正式拉开帷幕。吴健副校长首先致辞 2026）,,19,"地球科学学部 | https://dxb.ecnu.edu.cn/ | 邮箱:dixuebu@ecnu.edu.cn | 电话:021-62231882
国际汉语文化学院 | http://chinese.ecnu.edu.cn/ | 邮箱:yzxx-gh@chinese.ecnu.edu.cn | 电话:021-62233624
心理与认知科学学院 | http://psy.ecnu.edu.cn/ | 电话:021-62230090; 010-58808187--
统计学院 | https://stat.ecnu.edu.cn/
数学科学学院 | http://math.ecnu.edu.cn/ | 电话:021-54342646
物理学院 | http://phy.ecnu.edu.cn/ | 邮箱:ecnuphy@phy.ecnu.edu.cn | 电话:021-54342933
化学与分子工程学院 | https://chem.ecnu.edu.cn/ | 邮箱:yyli@chem.ecnu.edu.cn; tcui@chem.ecnu.edu.cn
生命科学学院 | http://life.ecnu.edu.cn/ | 邮箱:ecnubio@bio.ecnu.edu.cn | 电话:+862154342605
地理科学学院 | https://geo.ecnu.edu.cn | 邮箱:ghwang@geo.ec; geo@geo.ecnu.edu.cn | 电话:54341218
生态与环境科学学院 | https://sees.ecnu.edu.cn | 电话:009102000042; 021-54341286（
计算机科学与技术学院 | https://cs.ecnu.edu.cn/
软件工程学院 | https://sei.ecnu.edu.cn/ | 邮箱:yuanzhang@sei.ecnu.edu.cn; office@sei.ecnu.edu.cn | 电话:021-62232550
数据科学与工程学院 | http://dase.ecnu.edu.cn/ | 邮箱:dase@dase.ecnu.edu.cn
空间人工智能学院 | https://geoai.ecnu.edu.cn | 邮箱:gjkj@geoai.ecnu.edu.cn | 电话:021-54371026
智能交互学院 | https://sii.ecnu.edu.cn/ | 电话:009102000042
上海国际首席技术官学院 | https://cto.ecnu.edu.cn/main.htm | 电话:021-61911352
精密光谱科学与技术高等研究院 | http://www.lps.ecnu.edu.cn/ | 邮箱:lps@phy.ecnu.edu.cn | 电话:021-54836023
量子科学与精密测量研究院 | https://iqspm.ecnu.edu.cn/index.html?_refluxos=a10https://iqspm.ecnu.edu.cn/index.html?_refluxos=a10 | 邮箱:jtsheng@lps.ecnu.edu.cn | 电话:(86)21-54836079
地理科学学院 | http://www.geo.ecnu.edu.cn/ | 邮箱:ghwang@geo.ec; geo@geo.ecnu.edu.cn | 电话:54341218",
3,上海市,同济大学,,985,公办,18,https://www.tongji.edu.cn/zsjy.htm,,newscenter@tongji.edu.cn,009102000038,http://gs.tongji.edu.cn/,,,,http://fao.tongji.edu.cn/,,,"殷文 主任
曲辰 副主任
徐云霞 副主任
殷文 主任（部门全面工作，分管出国（境）、中外合作）: yinwen@tongji.edu.cn
钟宁桦 主任（港澳台事务）
陈毅立 主任（留学生）: jmschenhata@tongji.edu.cn
曲辰 副主任（外国专家和引智工作、平台学院（中西、中法）、数据统计、政策评估、新闻宣传等工作。）: lefrancais@tongji.edu.cn
徐云霞 副主任（中外合作）: xuyunxia@tongji.edu.cn
孟嘉（负责德语区（德国、瑞士、奥地利））: incoming@tongji.edu.cn
陈钰（负责法语区（法国））: chenyu@tongji.edu.cn
柯依榕（负责西语区（西班牙、葡萄牙、墨西哥、阿根廷））: keyirong@tongji.edu.cn
徐俐（负责亚洲（日本、韩国、新加坡））: icyxu@tongji.edu.cn",2165982612,17,"建筑与城市规划学院 | http://caup.tongji.edu.cn/
土木工程学院 | http://civileng.tongji.edu.cn
机械工程与机器人学院 | http://mefaculty.tongji.edu.cn/ | 邮箱:20666053@tongji.edu.cn | 电话:（86）21-69589750; （86）21-65981482; +86-21-69589750
环境科学与工程学院 | https://sese.tongji.edu.cn/
生命科学与技术学院 | https://life.tongji.edu.cn/main.htm | 电话:021-65981041
材料科学与工程学院 | http://smse.tongji.edu.cn/ | 邮箱:tjcldw@tongji.edu.cn; TJsmse@tongji.edu.cn | 电话:021-69584723
电子与信息工程学院 | https://see.tongji.edu.cn/ | 邮箱:dxwg@tongji.edu.cn | 电话:(021)69589979
汽车与能源学院 | https://auto.tongji.edu.cn/ | 电话:021-69583764; 021-69589204; 021-69589841
海洋与地球科学学院 | http://mgg.tongji.edu.cn/ | 邮箱:zhao_jing@tongji.edu.cn; 97016@tongji.edu.cn; feixu@tongji.edu.cn | 电话:021-65981389; （021）65981389
航空航天与力学学院 | https://aero-mech.tongji.edu.cn/main.htm | 邮箱:lixueli@tongji.edu.cn | 电话:021-69581708
测绘与地理信息学院 | https://celiang.tongji.edu.cn/ | 邮箱:cehui@tongji.edu.cn | 电话:021-65981085
物理科学与工程学院 | http://physics.tongji.edu.cn | 邮箱:physicsaca@tongji.edu.cn | 电话:021-65983380
化学科学与工程学院 | https://chemweb.tongji.edu.cn/
数学科学学院 | http://math.tongji.edu.cn/ | 电话:86-21-65981384
中德工程学院 | https://cdhaw.tongji.edu.cn/main.htm | 邮箱:cdhaw-cdibb-dw@tongji.edu.cn; cdhawibboffice@tongji.edu.cn | 电话:+86(21)69584739
联合国环境规划署-同济大学环境与可持续发展学院 | https://unep-iesd.tongji.edu.cn/main.htm | 邮箱:unep_tongji@tongji.edu.cn | 电话:+86-21-65987790
工程智能研究院 | https://iaie.tongji.edu.cn | 邮箱:iaie@tongji.edu.cn",
4,上海市,复旦大学,,985,公办,5,https://www.fudan.edu.cn/2019/0506/c431a103172/page.htm,,career@fudan.edu.cn,8621-65642288; 021-65642222,https://www.fudan.edu.cn/516/list.htm,,,021-65642222,https://ogp.fudan.edu.cn/16077/list.htm,,,"卢丽安 处长: lalu@fudan.edu.cn
唐文卿 副处长: wqtang@fudan.edu.cn
胡文华 副主任: confucius@fudan.edu.cn
担任 处长（负责中心日常运作以及联系北欧的成员大学）
Carla Harold 中心主任: austriancentre@fudan.edu.cn
马跃 中心主管: austriancentre@fudan.edu.cn",021-65642260; 021-65649524,10,"数学科学学院 | http://math.fudan.edu.cn/ | 邮箱:sxbks@fudan.edu.cn | 电话:021-65642222; 55665146）; 65643503）
微电子学院 | https://sme.fudan.edu.cn/ | 邮箱:sme_keyan@fudan.edu.cn; sme_admission@fudan.edu.cn; sme@fudan.edu.cn | 电话:021-65641106; 021-65643449; 021-65643438
生命科学学院 | http://life.fudan.edu.cn/ | 电话:08660525549
大数据学院 | http://www.sds.fudan.edu.cn/wp/
集成电路与微纳电子创新学院 | https://icmne.fudan.edu.cn/ | 邮箱:icmne@fudan.edu.cn
计算与智能创新学院 | https://ai.fudan.edu.cn/ | 邮箱:cs_school@fudan.edu.cn | 电话:13472188450
智能机器人与先进制造创新学院 | https://ciram.fudan.edu.cn/ | 邮箱:ciram_dzb@fudan.edu.cn; yingsun@fudan.edu.cn; teai@fudan.edu.cn | 电话:021-65641208; 021-31243536; 021-65642740
智能材料与未来能源创新学院 | https://icome.fudan.edu.cn/ | 电话:021-65642379; 021-31243591; 021-31249935
未来信息创新学院 | https://fit.fudan.edu.cn/ | 邮箱:fit@fudan.edu.cn | 电话:021-31242680
科学技术研究院 | https://www.fudan.edu.cn/2019/0506/c431a103187/page.htm | 邮箱:keyanyuan@fudan.edu.cn; yxky@fudan.edu.cn | 电话:8621-54237270; 021-65642222",
5,北京市,中国人民大学,,985,公办,17,,,,,https://www.ruc.edu.cn/yanjiushengpeiyang.html,,,,https://pgs.ruc.edu.cn/gats.htm,,,,,12,"■ 生态环境学院 | https://envi.ruc.edu.cn/ | 邮箱:huanjing@ruc.edu.cn | 电话:010-62511042
■ 信息学院 | http://info.ruc.edu.cn/
■ 统计学院 | http://stat.ruc.edu.cn/ | 邮箱:tongjioffice@ruc.edu.cn | 电话:01620241114; 010-62511318; 010-62511316
■ 化学与生命资源学院 | https://clr.ruc.edu.cn/zwwz/index.htm | 邮箱:ruc_clr@ruc.edu.cn | 电话:010-62512822
■ 物理学院 | http://www.phys.ruc.edu.cn/ | 邮箱:graphy@ruc.edu.cn | 电话:+86-10-62517997（
■ 统计与大数据研究院 | http://isbd.ruc.edu.cn/
■ 数学学院 | http://math.ruc.edu.cn/ | 邮箱:mathruc@ruc.edu.cn | 电话:010-82507161
■ 高瓴人工智能学院 | http://ai.ruc.edu.cn/ | 邮箱:ai@ruc.edu.cn
■ 智慧治理学院 | http://su.ruc.edu.cn/department/ssg/index.htm | 电话:045931565425
国家治理工程学院 | http://ang.ruc.edu.cn/index.htm | 邮箱:GJZL@ruc.edu.cn | 电话:010-62510553
■ 全球领导力学院 | http://sgl.ruc.edu.cn/ | 邮箱:sglruc@ruc.edu.cn
■ 交叉科学研究院 | http://sids.ruc.edu.cn/ | 邮箱:rdcy2021@ruc.edu.cn | 电话:010-62510183",
6,北京市,中国农业大学,,985,公办,24,https://www.cau.edu.cn/zsjy/index.htm,,xwzx@cau.edu.cn,,https://www.cau.edu.cn/jyjx/yjsjy/index.htm,,,,https://global.cau.edu.cn/,,,,,10,"资源与环境学院 | http://zihuan.cau.edu.cn/ | 邮箱:zihuan@cau.edu.cn | 电话:+86-10-62732494
动物科学技术学院 | http://cast1.cau.edu.cn/ | 电话:010-62732227
食品科学与营养工程学院 | http://spxy.cau.edu.cn/
信息与电气工程学院 | http://ciee.cau.edu.cn/
水利与智能工程学院 | http://water.cau.edu.cn/ | 电话:010-62736533
理学院 | http://sci.cau.edu.cn/ | 电话:060818191213; 070718074305; 041916152065
土地科学与技术学院 | http://clst.cau.edu.cn/ | 邮箱:tdxy@cau.edu.cn
草业科学与技术学院 | http://cgst.cau.edu.cn/ | 电话:010-62733381; 010-62732272
未来技术学院 | https://cft.cau.edu.cn/ | 电话:010-62732363
科学技术发展研究院 | http://kyy.cau.edu.cn/ | 电话:62734140",
7,北京市,中央民族大学,,985,公办,,https://www.muc.edu.cn/zsjy/zs/bykzs.htm,,,010-68932442,,,,,https://www.muc.edu.cn/gjjl.htm,,,"查显友 党委书记
强世功 党委副书记、校长
杨慕云 党委副书记、副校长
王雄军 党委副书记、副校长
马林涛 党委常委、副校长
甘明刚 党委常委、副校长
彭勇 党委常委、副校长
赵丽芳 党委常委、副校长
张浩 党委常委、纪委书记
姚佳琳 党委常委、总会计师",010-68932442,4,"生命与环境科学学院 | https://cles.muc.edu.cn/
理学院 | https://lxy.muc.edu.cn/ | 邮箱:lxymucg@163.com | 电话:010-68933910
信息工程学院 | https://xingong.muc.edu.cn/ | 电话:010-68932970; 010-68932333
国家安全研究院 | https://gjaqyjy.muc.edu.cn/ | 电话:010-68933909",
8,北京市,北京大学,,985,公办,2,,,,,https://www.pku.edu.cn/recruit.html#undergraduate,,its@pku.edu.cn,,https://www.pku.edu.cn/recruit.html#overseasStudent,,its@pku.edu.cn,,,2,"理学部 | https://www.pku.edu.cn/department.html#item1 | 邮箱:its@pku.edu.cn
信息科学与技术学部 | https://www.pku.edu.cn/department.html#item2 | 邮箱:its@pku.edu.cn",
9,北京市,北京师范大学,,985,公办,19,https://www.bnu.edu.cn/zsjy/index.htm,,,040102700202,http://jwb.bnu.edu.cn/,,jwb@bnu.edu.cn,,http://oiec.bnu.edu.cn/,,,"李中山 副处长（负责留学生管理、国际学生短期项目、学生境外交流、中外合作办学）: lzs@bnu.edu.cn
戴淑君 副处长（负责因公派出、规划和综合业务、英文润色）: daisj@bnu.edu.cn
负责 主任（全处工作。）: tengjun1983@bnu.edu.cn
负责处 主任: museng@bnu.edu.cn
赵洪祝 副书记（负责同志、二十国集团成员国驻华使馆官员及相关国际组织驻华高级代表）",010-58808285,12,"地理科学学部 | http://geo.bnu.edu.cn | 电话:010-58807657
心理学部 | http://psych.bnu.edu.cn/ | 邮箱:psyoffice@bnu.edu.cn | 电话:010-58808187
数学科学学院 | http://math.bnu.edu.cn/ | 电话:17871320449
化学学院 | http://www.chem.bnu.edu.cn/ | 邮箱:bnuchem@bnu.edu.cn | 电话:(+86-10)58807843
系统科学学院 | http://sss.bnu.edu.cn/ | 邮箱:sss@bnu.edu.cn | 电话:010-58807880
统计学院 | http://stat.bnu.edu.cn
环境学院 | http://env.bnu.edu.cn/ | 邮箱:environment@bnu.edu.cn | 电话:010-58801830
生命科学学院 | http://cls.bnu.edu.cn/ | 邮箱:hrcls@bnu.edu.cn | 电话:(8610)58802047
人工智能学院 | http://ai.bnu.edu.cn/ | 电话:010-58807943
文理学院 | https://fas.bnu.edu.cn/ | 邮箱:wlxy@bnu.edu.cn
未来技术学院 | https://tecs.bnu.edu.cn/ | 邮箱:tecs@bnu.edu.cn | 电话:0756-3683287; 0756-8111333
水科学研究院 | http://cws.bnu.edu.cn/",
10,北京市,北京理工大学,,985,公办,14,https://www.bit.edu.cn/zsjysjb/index.htm,,,,http://grd.bit.edu.cn/,,grd@bit.edu.cn,,https://www.bit.edu.cn/,,,"姜澜 校长
包丽颖 党委副书记
许安国 党委副书记、纪委书记
杨帆 党委副书记
魏一鸣 副校长
王博 副校长
李振键 副校长
汪本聪 副校长
庞思平 副校长
邹美帅 副校长
党华 副校长
杨亚政 校长助理
阎艳 校长助理",,19,"化学与化工学院 | http://cce.bit.edu.cn/ | 电话:81381329）
生命学院 | http://ls.bit.edu.cn/
空天科学与技术学院 | http://sae.bit.edu.cn/ | 邮箱:xyh@bit.edu.cn; zhaoyakang@bit.edu.cn | 电话:010-68918470
机械与车辆学院 | http://me.bit.edu.cn/ | 邮箱:sme@bit.edu.cn | 电话:68915075
数学与统计学院 | http://math.bit.edu.cn/ | 邮箱:sunjing@bit.edu.cn; 515896112@bit.edu.cn; guojilong@bit.edu.cn | 电话:81384701; 81384702
光电学院 | http://opt.bit.edu.cn/ | 邮箱:bitgd@bit.edu.cn | 电话:010-68913659
物理学院 | http://physics.bit.edu.cn/ | 邮箱:wmq@bit.edu.cn | 电话:17804490653; 010-81383955
信息与电子学院 | http://sie.bit.edu.cn/ | 邮箱:jingguo@bit.edu.cn; fangfang0409@126.com; gaoran@bit.edu.cn | 电话:010-68915838; 010-68912615; 010-68915438
雷达技术研究院 | https://radar.bit.edu.cn | 电话:010-68918357
集成电路与电子学院 | https://ice.bit.edu.cn/ | 邮箱:lizhi@bit.edu.cn; renxiang@bit.edu.cn; lixy@bit.edu.cn | 电话:040202430169; 010-68918738; 010-68911316
自动化学院 | http://ac.bit.edu.cn/ | 邮箱:automation@bit.edu.cn
计算机学院 | http://cs.bit.edu.cn/ | 邮箱:zhaoxj@bit.edu.cn | 电话:68914756
网络空间安全学院 | https://cst.bit.edu.cn/ | 邮箱:haohaoqian@bit.edu.cn; songxm@bit.edu.cn; liukun212@bit.edu.cn | 电话:68912176; 68917239; 68917277
人工智能学院 | https://ai.bit.edu.cn | 邮箱:ai@bit.edu.cn
材料学院 | http://mse.bit.edu.cn/ | 邮箱:Webmaster@bit.edu.cn; service@bit.edu.cn
科学技术研究院 | http://kjc.bit.edu.cn
先进结构技术研究院 | http://xjjg.bit.edu.cn | 邮箱:xianjinjiegou@bit.edu.cn | 电话:86-10-68911676
卓越工程师学院 | http://zygcs.bit.edu.cn/ | 邮箱:XTLSchool@bit.edu.cn | 电话:010-81381042
前沿交叉科学院 | http://sis.bit.edu.cn/",
