序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-领导及邮箱,国际处-电话,备注
1,中国人民大学,,985,公办,,,,,,https://www.ruc.edu.cn/yanjiushengpeiyang.html,,,,https://pgs.ruc.edu.cn/gats.htm,,,,,
2,中国农业大学,,985,公办,,https://www.cau.edu.cn/zsjy/index.htm,,xwzx@cau.edu.cn,,https://www.cau.edu.cn/jyjx/yjsjy/index.htm,,,,https://global.cau.edu.cn/,,,,,
3,中央民族大学,,985,公办,,https://www.muc.edu.cn/zsjy/zs/bykzs.htm,,,010-68932442,,,,,https://www.muc.edu.cn/gjjl.htm,,,,010-68932442,
4,北京大学,,985,公办,,,,,,https://www.pku.edu.cn/recruit.html#undergraduate,,its@pku.edu.cn,,https://hmt.pku.edu.cn/,,its@pku.edu.cn,"副主任: gangaotai@pku.edu.cn
副主任: liyun@pku.edu.cn
副主任: jzhou@pku.edu.cn
主任: lin2009@pku.edu.cn",,
5,北京师范大学,,985,公办,,https://www.bnu.edu.cn/zsjy/index.htm,,,040102700202,http://jwb.bnu.edu.cn/,,jwb@bnu.edu.cn,,http://oiec.bnu.edu.cn/,,,"孔管理 主任: tengjun1983@bnu.edu.cn
李中山 副处长（负责留学生管理、国际学生短期项目、学生境外交流、中外合作办学）: lzs@bnu.edu.cn
戴淑君 副处长（负责因公派出、规划和综合业务、英文润色）: daisj@bnu.edu.cn",010-58808285,
6,北京理工大学,,985,公办,,https://www.bit.edu.cn/zsjysjb/index.htm,,,,http://grd.bit.edu.cn/,,grd@bit.edu.cn,,https://www.bit.edu.cn/,,,,,
7,北京航空航天大学,,985,公办,,https://www.buaa.edu.cn/zsjy.htm,,,,https://www.buaa.edu.cn/jyjx/yjsjy1.htm,,,,https://global.buaa.edu.cn/,,,"白琳 部长（主持全面工作）: international@buaa.edu.cn
吴晓君 副部长（分管全校国际学生招生工作、国际学生研究生教学工作）: xiaojunwu@buaa.edu.cn
金天 副部长（分管国际化战略制定、国际关系拓展、校级来访出访大型外事活动、学生）: jintian@buaa.edu.cn
刘娜 副部长（分管全校教工及学生因公出国（境）业务、国际学生管理工作）: liuna@buaa.edu.cn
苏力 副部长（分管引智项目建设、国际会议管理、外籍专家学者来华管理服务、国际学）: suli@buaa.edu.cn
廖伟骏 副部长: liaowj18@buaa.edu.cn
略合作 主任（负责大型外事活动、涉外合作协议、国际组织及大学联盟等）: fanhang@buaa.edu.cn
出工作 主任: cgk@buaa.edu.cn
生管理 主任（负责国际本科生管理事务 传）: zhao_shuang@buaa.edu.cn
生教务 主任（负责国际学生招生及奖学金事务）: gaoyuan@buaa.edu.cn
文教育 主任（负责中文国际教育项目与教学）: is_office@buaa.edu.cn",,
8,清华大学,,985,公办,,https://www.tsinghua.edu.cn/zsjy.htm,,webmaster@tsinghua.edu.cn,010-62793001,https://www.tsinghua.edu.cn/jyjx/yjsjy.htm,,webmaster@tsinghua.edu.cn,010-62793001,https://www.tsinghua.edu.cn/hzjl/gjhz.htm,,webmaster@tsinghua.edu.cn,,010-62793001,
9,中国传媒大学,,211,公办,,https://www.cuc.edu.cn/zsjy/list.htm,,,,http://www.cuc.edu.cn/9998/list.htm#rc-main2,,,,https://international.cuc.edu.cn/,,kzxy@cuc.edu.cn,,,
10,中国地质大学（北京）,,211,公办,,http://jiuye.cugb.edu.cn/,,jyxsc@126.com,909355733,https://graduate.cugb.edu.cn,,,,https://gjhzc.cugb.edu.cn/,,,给山东 书记（主持会议）（邮箱未公开）,,
