高校名称,院校档次,省份,城市,软科排名,国际处网址,理工学院数,理工学院网址,更新说明
上海师范大学,软科top150,上海市,上海市,123,https://www.shnu.edu.cn/0e/e3/c31926a855779/page.htm,7,心理学院: https://psy.shnu.edu.cn/; 数理学院: https://mathsc.shnu.edu.cn/; 生命科学学院: https://cls.shnu.edu.cn/; 化学与材料科学学院: https://ccms.shnu.edu.cn/; 环境与地理科学学院: https://segs.shnu.edu.cn/; 信息与机电工程学院: https://xxjd.shnu.edu.cn/; 建筑工程学院: https://jiangong.shnu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址7条
上海理工大学,软科top150,上海市,上海市,106,https://ie.usst.edu.cn/8799/list.htm,8,能源与动力工程学院: http://ndxy.usst.edu.cn/; 光电信息与计算机工程学院: http://oece.usst.edu.cn/; 机械工程学院: http://me.usst.edu.cn/; 环境与建筑学院: http://sea.usst.edu.cn/; 健康科学与工程学院: http://jiankang.usst.edu.cn/; 材料与化学学院: http://chxy.usst.edu.cn/; 智能科技学院: http://saist.usst.edu.cn/; 公利医院医疗技术学院: https://glhospital.usst.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址8条
昆明理工大学,软科top150,云南省,昆明市,110,https://global.kust.edu.cn/,13,生命科学与技术学院: http://life.kust.edu.cn/; 环境科学与工程学院: http://ese.kmust.edu.cn/; 国土资源工程学院: http://gzy.kust.edu.cn/; 机电工程学院: http://jdxy.kust.edu.cn/; 建筑工程学院: http://jg.kust.edu.cn/; 建筑与城市规划学院: http://arch.kmust.edu.cn/; 化学工程学院: http://hg.kmust.edu.cn/; 电力工程学院: http://pwee.kmust.edu.cn/; 民航与航空学院: http://mhhk.kmust.edu.cn/; 现代农业工程学院: http://ngxy.kust.edu.cn/; 食品科学与工程学院: http://spxy.kust.edu.cn/; 理学院: http://lxy.kmust.edu.cn/; 卓越工程师学院: https://gcee.kust.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址13条
长春理工大学,软科top150,吉林省,长春市,138,http://www.cust.edu.cn/jlhz2026/gjhz20261/index.htm,11,科学技术研究院: http://www.cust.edu.cn/kxyj2026/kxjsyjy2026/index.htm; 物理学院: http://wlxy.cust.edu.cn/; 光电工程学院: http://gd.cust.edu.cn/; 机电工程学院: http://me.cust.edu.cn/; 电子信息工程学院: http://dx.cust.edu.cn/; 计算机科学技术学院: http://cs.cust.edu.cn/; 人工智能学院、人工智能研究院: http://ai.cust.edu.cn; 材料科学与工程学院: http://clkx.cust.edu.cn/; 化学与环境工程学院: http://hxhj.cust.edu.cn/; 数学与统计学院: https://sxytjxy.cust.edu.cn/; 生命科学技术学院: http://sls.cust.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址11条
安徽农业大学,软科top150,安徽省,合肥市,143,https://gjjl.ahau.edu.cn/,7,食品与营养学院: https://spyyyxy.ahau.edu.cn; 生物制造学院、生命科学学院: http://smkx.ahau.edu.cn/; 资源与环境学院: http://zhxy.ahau.edu.cn/; 智能制造学院、机械与车辆工程学院: http://gxy.ahau.edu.cn/; 材料与化学学院: https://clyhxxy.ahau.edu.cn; 人工智能学院: https://xzxy.ahau.edu.cn; 电子与电气工程学院: https://eee.ahau.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址7条
安徽师范大学,软科top150,安徽省,芜湖市,145,https://global.ahnu.edu.cn/,8,数学与统计学院: https://math.ahnu.edu.cn/; 物理与光电学院: https://physics.ahnu.edu.cn/; 化学与分子科学学院: https://chem.ahnu.edu.cn/; 地理与旅游学院: https://geography.ahnu.edu.cn/; 生命科学学院: https://biology.ahnu.edu.cn/; 生态与环境学院: https://envirsci.ahnu.edu.cn/; 智能材料与未来能源学院: https://future.ahnu.edu.cn/; 智能信息与先进制造学院: https://iiam.ahnu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址8条
山东农业大学,软科top150,山东省,泰安市,128,http://guojichu.sdau.edu.cn,8,资源与环境学院: https://zihuan.sdau.edu.cn; 园艺科学与工程学院: https://yyxy.sdau.edu.cn; 机械与电子工程学院: https://jdxy.sdau.edu.cn; 食品科学与工程学院: https://food.sdau.edu.cn; 生命科学学院: https://life.sdau.edu.cn/; 水利土木工程学院: https://shuitu.sdau.edu.cn/; 信息科学与工程学院: https://xinxi.sdau.edu.cn; 化学与材料科学学院: https://huaxue.sdau.edu.cn,软科top150新增目标高校 + 国际处网址 + 理工学院网址8条
山东师范大学,软科top150,山东省,济南市,104,http://www.oip.sdnu.edu.cn/,5,数学与统计学院: https://maths.sdnu.edu.cn/; 化学化工与材料科学学院: https://hxc.sdnu.edu.cn/; 生命科学学院: https://lsc.sdnu.edu.cn/; 地理与环境学院: https://pre.sdnu.edu.cn/; 通信与电子工程学院: https://txydz.sdnu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址5条
山东科技大学,软科top150,山东省,青岛市,140,http://fao.sdust.edu.cn/,14,能源与矿业工程学院: https://cms.sdust.edu.cn/; 测绘与空间信息学院: https://gc.sdust.edu.cn/; 地球科学与工程学院: https://cgse.sdust.edu.cn/; 土木工程与建筑学院: https://fcea.sdust.edu.cn/; 机械电子工程学院: https://cmee.sdust.edu.cn/; 电气与自动化工程学院: https://xindian.sdust.edu.cn/; 电子信息工程学院: https://dxxy.sdust.edu.cn/; 化学与生物工程学院: https://huagong.sdust.edu.cn/; 材料科学与工程学院: https://cmse.sdust.edu.cn/; 交通学院: https://jt.sdust.edu.cn/; 海洋科学与工程学院: https://ioe.sdust.edu.cn/; 储能技术学院: https://est.sdust.edu.cn/; 资源学院: https://zyxy.sdust.edu.cn/; 智能装备学院: https://znzb.sdust.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址14条
青岛大学,软科top150,山东省,青岛市,108,https://international.qdu.edu.cn/,12,数学与统计学院: https://maths.qdu.edu.cn; 物理科学学院: https://physics.qdu.edu.cn; 化学化工学院: https://hxhg.qdu.edu.cn; 生命科学学院: https://smkx.qdu.edu.cn; 机电工程学院: https://jdxy.qdu.edu.cn; 材料科学与工程学院: https://clxy.qdu.edu.cn; 自动化学院: https://zdh.qdu.edu.cn; 电气工程学院: https://ee.qdu.edu.cn; 电子信息学院: https://dzxxxy.qdu.edu.cn; 计算机科学技术学院: https://cst.qdu.edu.cn/; 环境与地理科学学院: https://env.qdu.edu.cn; 纺织服装学院: https://ctc.qdu.edu.cn,软科top150新增目标高校 + 国际处网址 + 理工学院网址12条
中北大学,软科top150,山西省,太原市,144,http://international.nuc.edu.cn/,16,科学技术研究院: http://std.nuc.edu.cn; 机电工程学院: http://jdgc.nuc.edu.cn/; 机械工程学院: http://jxdl.nuc.edu.cn/; 材料科学与工程学院: http://3y.nuc.edu.cn/; 化学与化工学院: http://hgxy.nuc.edu.cn/; 信息与通信工程学院: http://5y.nuc.edu.cn/; 仪器与电子学院: http://6y.nuc.edu.cn/; 计算机科学与技术学院: http://cst.nuc.edu.cn; 数学学院: http://math.nuc.edu.cn/; 软件学院: http://ss.nuc.edu.cn/; 环境与安全工程学院: http://hjaq.nuc.edu.cn; 电气与控制工程学院: http://ece.nuc.edu.cn; 能源与动力工程学院: http://epe.nuc.edu.cn; 航空宇航学院: http://hkyh.nuc.edu.cn; 半导体与物理学院: http://bdtywlxy.nuc.edu.cn/; 卓越工程师学院: https://zgxy.nuc.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址16条
广东工业大学,软科top150,广东省,广州市,96,https://wsc.gdut.edu.cn/index.htm,15,机电工程学院: https://jdgcxy.gdut.edu.cn; 信息工程学院: https://xxgcxy.gdut.edu.cn; 计算机学院: https://cs.gdut.edu.cn/; 建筑与城市规划学院: https://arc.gdut.edu.cn; 集成电路学院: https://sme.gdut.edu.cn/; 卓越工程师学院: https://zygcsxy.gdut.edu.cn/; 自动化学院: https://automation.gdut.edu.cn; 土木与交通工程学院: https://tmjtxy.gdut.edu.cn; 材料与能源学院: https://clnyxy.gdut.edu.cn; 数学与统计学院: https://math.gdut.edu.cn/; 生态环境与海洋学院: https://seer.gdut.edu.cn; 轻工化工学院: https://qghgxy.gdut.edu.cn; 环境科学与工程学院: https://hkxy.gdut.edu.cn; 物理与光电工程学院: https://wlgdxy.gdut.edu.cn/; 先进材料与技术研究院: https://www.gdut.edu.cn/jgsz/kyjg.htm,软科top150新增目标高校 + 国际处网址 + 理工学院网址15条
广州大学,软科top150,广东省,广州市,105,http://wsc.gzhu.edu.cn/,1,科学研究院: http://kyc.gzhu.edu.cn/,软科top150新增目标高校 + 国际处网址 + 理工学院网址1条
