序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-电话,备注
1,吉林大学,长春市,985,公办,26,http://www.jlu.edu.cn/zsjy.htm,,,0431-85166420; 0431-85166226; 0431-85166371,http://yjsy.jlu.edu.cn/,,yzhc@jlu.edu.cn,0431-85166175,https://oic.jlu.edu.cn/,,OGE@jlu.edu.cn,0431-85166657,
2,延边大学,延边朝鲜族自治州,211,公办,132,http://www.ybu.edu.cn/zsjy_1.htm,,xcb@ybu.edu.cn,,https://grad.ybu.edu.cn/,,,0433-2732079,https://international.ybu.edu.cn/,,,,
3,东北师范大学,长春市,211,公办,45,http://www.nenu.edu.cn/zsjy/xsjy.htm,,dsxxw@nenu.edu.cn,,http://www.nenu.edu.cn/jyjx/yjsjy.htm,,dsxxw@nenu.edu.cn,,https://iso.nenu.edu.cn/,,iso@nenu.edu.cn,0431-85099754,
4,东北电力大学,吉林市,双非,公办,220,https://zsjyc.neepu.edu.cn/,,,,http://grad.neepu.edu.cn,,,,http://oice.neepu.edu.cn/index.htm,,,,
5,北华大学,吉林市,双非,公办,300,,,,,,,,,,,,,官网不可达：全部方式失败
6,吉林农业科技学院,吉林市,双非,公办,,http://hjiuye.jlnku.edu.cn/,,jiuye11439@163.com,0432-63509058; 0432-63509929,,,,,https://foreign.jlnku.edu.cn/,,,0432-63509783,
7,吉林化工大学,吉林市,双非,公办,,http://www.jlict.edu.cn/zsjy.htm,,,,http://yjs.jluct.edu.cn/,,,,https://wsc.jluct.edu.cn/,,,,
8,吉林医药学院,吉林市,双非,公办,,http://www.jlmu.cn/zsjy1.htm,,,,http://www.jlmu.cn/info/1471/70451.htm,,,,http://www.jlmu.cn/jlhz/gjhz.htm,,,,
9,吉林铁道职业技术大学,吉林市,双非,公办,,https://jyxx.jty.edu.cn/,,,0432-66137555,,,,,http://iec.jtpt.cn,,,,
10,吉林师范大学,四平市,双非,公办,230,,,,,,,,,,,,,官网不可达：全部方式失败
11,白城师范学院,白城市,双非,公办,470,,,,,,,,,,,,,官网不可达：全部方式失败
12,通化师范学院,通化市,双非,公办,450,https://thnucareer.hjiuye.com/,学生就业小程序,thsyzsb@163.com,0435-3208040,,,,,https://gjjl.thnu.edu.cn/,,,,
13,吉林体育学院,长春市,双非,公办,未上榜/独立榜,,,,,,,,,,,,,官网不可达：全部方式失败
14,吉林农业大学,长春市,双非,公办,165,https://www.jlau.edu.cn/zsjy.htm,,webmaster@jlau.edu.cn,,https://www.jlau.edu.cn/jyjx/yjsjy1.htm,,,,http://gjjy.jlau.edu.cn,,,,
15,吉林工商学院,长春市,双非,公办,,https://jlbtcjy.mh.chaoxing.com/,,,,,,,,https://hzjl.jlbtc.edu.cn/,,,,
16,吉林工程技术师范学院,长春市,双非,公办,430,http://jlenu.hjiuye.com/,,,0431-86908057; 0431-86907028,http://yjs.jlenu.edu.cn,,,0431-86908108,http://gjjlc.jlenu.edu.cn,,,86908016; 86908019,
