序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-电话,备注
1,中山大学,广州市,985,公办,11,http://career.sysu.edu.cn/,中山大学就业（sysucareer）,,,https://graduate.sysu.edu.cn/,公众号二维码: qrcodes\中山大学_grad.jpg,yyzhc@mail.sysu.edu.cn,020-84111685; 020-84111686; 020-84113696,,,,,
2,华南理工大学,广州市,985,公办,30,,,,,http://www.scut.edu.cn/graduate/,,,,,,,,
3,中山大学深圳校区,深圳市,985,公办,,http://career.sysu.edu.cn/,中山大学就业（sysucareer）,,,https://graduate.sysu.edu.cn/,公众号二维码: qrcodes\中山大学深圳校区_grad.jpg,,,,,,,
4,北京大学深圳研究生院,深圳市,985,公办,,,,,,https://admission.pkusz.edu.cn/index.html,,,,https://www.pkusz.edu.cn/zspy/gjjl.htm,,,,
5,哈尔滨工业大学（深圳）,深圳市,985,公办,,https://job.hitsz.edu.cn/zhxy-szxszyfzpt/,,,,https://yzb.hitsz.edu.cn/zs,,,,https://www.hitsz.edu.cn/25/list.htm,,,,
6,清华大学深圳国际研究生院,深圳市,985,公办,,https://www.sigs.tsinghua.edu.cn/7631/list.htm,,,,https://www.sigs.tsinghua.edu.cn/7646/list.htm,,,,https://www.sigs.tsinghua.edu.cn/7666/list.htm,,,,
7,北京师范大学珠海校区,珠海市,985,公办,,https://career.bnuzh.edu.cn/,,,,,,,,https://io.bnuzh.edu.cn/index.htm,,,,
8,华南师范大学,广州市,211,公办,70,https://www.scnu.edu.cn/a/20151026/34.html,,,,http://yz.scnu.edu.cn/,,,020-85213863,https://www.scnu.edu.cn/a/20150907/21.html,,,,
9,暨南大学,广州市,211,公办,55,https://scdc.jnu.edu.cn/,暨大就业公众号,ojy-jnu@163.com,020-85226956,https://yz.jnu.edu.cn,,oyzb@jnu.edu.cn,,https://wsc.jnu.edu.cn/,,international@jnu.edu.cn,85220457,
10,华南农业大学,广州市,双一流,公办,94,http://jyzx.scau.edu.cn/,,,,https://yjsy.scau.edu.cn/,,,020-85280065; 020-85280066; 020-85280067,http://fao.scau.edu.cn/,,,18061503163,
11,广州中医药大学,广州市,双一流,公办,242,https://www.gzucm.edu.cn/zsjy/zs.htm,,,,https://www.gzucm.edu.cn/jyjx/yjsjy.htm,,,,https://www.gzucm.edu.cn/jyjx/gjjyjgatqxspy.htm,,,,
12,广州医科大学,广州市,双一流,公办,221,https://zs.gzhmu.edu.cn/bkzn/zsdt.htm,广州医科大学本科招生微信公众号,,,https://yjs.gzhmu.edu.cn/,,,,https://fao.gzhmu.edu.cn/,,,,
