序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-电话,备注
1,辽东学院,丹东市,双非,公办,520,,,,,,,,,,,,,官网不可达：全部方式失败
2,大连理工大学,大连市,985,公办,28,http://job.dlut.edu.cn/index.html,,,,http://gs.dlut.edu.cn/,,yjsyzhb@dlut.edu.cn,0411-84708330,http://dutdice.dlut.edu.cn/,,dutfao@dlut.edu.cn,0411-84708702,
3,大连海事大学,大连市,211,公办,100,https://myjob.dlmu.edu.cn/,,haishijiuye@163.com; dmujobzixun@163.com,0411-84724185; 0411-84729209; 0411-84728536,https://grs.dlmu.edu.cn/,,,,,,,,
4,东北财经大学,大连市,双非,公办,90,,,,,http://www.dufe.edu.cn/rcpy/yjs/,,advice@dufe.edu.cn,14543610005,http://www.dufe.edu.cn/content_100605.html,,advice@dufe.edu.cn,14543610005,
5,大连交通大学,大连市,双非,公办,,http://www.djtu.edu.cn/Redirect?mid=55,,,0411-84109958; 0411-86226500-,http://www.djtu.edu.cn/Redirect?mid=29,,,,http://www.djtu.edu.cn/Redirect?mid=44,,,,
6,大连医科大学,大连市,双非,公办,190,https://rcd.dmu.edu.cn/,,,0411-86110222; 0411-86110221; 0411-86110223,https://yjs.dmu.edu.cn/,,,,,,,,
7,大连外国语大学,大连市,双非,公办,,http://www.dlufl.edu.cn/zsjy.htm,,xzxx@dlufl.edu.cn,86115896,http://www.dlufl.edu.cn/info/1121/11447.htm,,xzxx@dlufl.edu.cn,86115896,http://ieo.dlufl.edu.cn/,,,0411-86112222,
8,大连大学,大连市,双非,公办,,,,,,,,,,,,,,官网不可达：全部方式失败
9,大连工业大学,大连市,双非,公办,250,,,,,,,,,,,,,
10,大连民族大学,大连市,双非,公办,410,http://www.dlnu.edu.cn/zsjy.htm,大连民族大学-微信,,,https://new.dlnu.edu.cn/gs/,,yzb@dlnu.edu.cn,0411-87630448,,,,,
11,大连海洋大学,大连市,双非,公办,350,http://dlou.jysd.com/,,10158@dlou.edu.cn,0411-84762679,http://master.dlou.edu.cn/,编辑器应,,0411-84762652; 0411-84762665,http://gjjlc.dlou.edu.cn/,,iecd@dlou.edu.cn,,
12,辽宁师范大学,大连市,双非,公办,220,https://lsdjyw.lnnu.edu.cn/,,lszjcscb@163.com,0411-82159911,https://master.lnnu.edu.cn/,,,,,,,,
13,辽宁警察学院,大连市,双非,公办,未上榜/独立榜,https://www.lnpc.edu.cn/35/list.htm,,,,,,,,,,,,
14,辽宁石油化工大学,抚顺市,双非,公办,,http://www.lnpu.edu.cn/zsjy/bkszs.htm,,,024-56865000,http://www.lnpu.edu.cn/rcpy/yjsjy.htm,,,024-56865000,http://www.lnpu.edu.cn/hzjl/gjjl.htm,,,024-56865000,
15,朝阳师范学院,朝阳市,双非,公办,540,https://www.xuexi.cn/local/normalTemplate.html?itemId=6673085005017032472,,,,,,,,,,,,
16,辽宁科技学院,本溪市,双非,公办,530,http://www.lnist.edu.cn/zsjy/zsgl.htm,,,,,,,,,,,,
17,东北大学,沈阳市,985,公办,39,http://job.neu.edu.cn/,,neujiuye@163.com; NEU83681260@163.com; NEUcareer@163.com,024-83687393; 024-83689881; 024-83681260,http://www.graduate.neu.edu.cn,,,,http://int.neu.edu.cn/,,,,
18,辽宁大学,沈阳市,211,公办,105,http://job.lnu.edu.cn,,,024-62602250,http://grs.lnu.edu.cn/zsgz.htm,,,024-62202353,http://gjjlc.lnu.edu.cn,,,,
19,沈阳农业大学,沈阳市,双一流,公办,210,https://jobsyau.jysd.com/,沈农就业,,024）88487218,http://grs.syau.edu.cn/,,,024-88487139,https://gjjlc.syau.edu.cn/,,gjjlc@syau.edu.cn,024-88487084,
20,中国刑事警察学院,沈阳市,双非,公办,,https://zsjy.cipuc.edu.cn/,,zsb@cipuc.edu.cn; yjsc_npuc@163.com; npucjy@163.com,024-86982292; 024-86982692,http://www.cipuc.edu.cn/rcpy/yjsjy/xkzy.htm,,,,http://www.cipuc.edu.cn/dwjl.htm,,,,
21,中国医科大学,沈阳市,双非,公办,130,,,,,,,,,,,,,官网不可达：全部方式失败
22,沈阳体育学院,沈阳市,双非,公办,未上榜/独立榜,http://sytyxy.bysjy.com.cn/,,stzsjyc@163.com,,http://yjs.syty.edu.cn/zsgong_z/tzgg.htm,,sytyyzb@163.com,,,,,,
23,沈阳化工大学,沈阳市,双非,公办,400,http://syuct.bysjy.com.cn/,,,,https://grszs.syuct.edu.cn,,,024-89386567,http://www.syuct.edu.cn/gjjl/yhyx.htm,,,,
24,沈阳医学院,沈阳市,双非,公办,,http://www.symc.edu.cn/zsjy.htm,,,,https://yjsjy.symc.edu.cn/,,,,http://www.symc.edu.cn/info/1083/72801.htm,,,,
25,沈阳大学,沈阳市,双非,公办,420,http://www.syu.edu.cn/zsjy.htm,,,,http://yjs.syu.edu.cn/,,,,http://wsc.syu.edu.cn,,,,
26,沈阳工业大学,沈阳市,双非,公办,180,,,,,,,,,,,,,
27,沈阳工程学院,沈阳市,双非,公办,,http://job.sie.edu.cn/,,,024-31975266,http://yjsb.sie.edu.cn/,,,,https://gjjyxy.sie.edu.cn/index.jsp,,,,
28,沈阳师范大学,沈阳市,双非,公办,,https://www.synu.edu.cn/zsjy_6737/list.htm,,dzb@synu.edu.cn,024-86592995,http://yjs.synu.edu.cn/main.htm,,,,https://www.synu.edu.cn/2026/0814/c6740a115984/page.htm,,dzb@synu.edu.cn,024-86592995,
29,沈阳建筑大学,沈阳市,双非,公办,320,http://zsjy.sjzu.edu.cn/,,,,http://www.sjzu.edu.cn/rcpy/yjsjy.htm,,,,,,,,
30,沈阳理工大学,沈阳市,双非,公办,,https://job.sylu.edu.cn,,24686098@163.com,024-24686098,http://yanjiusheng.sylu.edu.cn,,,,http://gjjlhzc.sylu.edu.cn,,,,
31,沈阳航空航天大学,沈阳市,双非,公办,,https://sau.jysd.com/,,,,http://yjs.sau.edu.cn,,,,http://gjgcs.sau.edu.cn,,,,
