序号,高校名称,城市,院校档次,办学性质,软科排名,就业中心-官网,就业中心-公众号,就业中心-邮箱,就业中心-电话,研究生院-官网,研究生院-公众号,研究生院-邮箱,研究生院-电话,国际处-官网,国际处-公众号,国际处-邮箱,国际处-电话,备注
1,佳木斯大学,佳木斯市,双非,公办,400,https://jmsu.gxbys.org.cn/,,,0454-8618138; 0454-8618867,https://yjs.jmsu.edu.cn/,,,0454-8618805; 0454-8618499,https://iecd.jmsu.edu.cn/,,,,
2,哈尔滨工业大学,哈尔滨市,985,公办,14,http://www.hit.edu.cn/11537/list.htm,,,,http://hitgs.hit.edu.cn/,,,0451-86412296,http://www.hit.edu.cn/11555/list.htm,,,,
3,东北农业大学,哈尔滨市,211,公办,115,https://www.neau.edu.cn/zsjy.htm,,,,https://graduate.neau.edu.cn/,快速入口,,,http://gjjl.neau.edu.cn/,,,,
4,东北林业大学,哈尔滨市,211,公办,105,http://job.nefu.edu.cn/,,Jiuye@nefu.edu.cn,0451-82192212,https://gra.nefu.edu.cn/,,yjsy@nefu.edu.cn,,https://ico.nefu.edu.cn/,,nefu_gjhzc@163.com,0451-82190337,
5,哈尔滨工程大学,哈尔滨市,211,公办,43,http://www.hrbeu.edu.cn/zsjy1.htm,,,0451-82519222,https://yjsy.hrbeu.edu.cn,,,0451-82518910,https://heucice.hrbeu.edu.cn,,,0451-82518013,
6,哈尔滨医科大学,哈尔滨市,双一流,公办,120,http://www.hrbmu.edu.cn/zsjy1.htm,,,,http://yjsy.hrbmu.edu.cn,,,,http://www.hrbmu.edu.cn/gjjlc/,,,,
7,哈尔滨体育学院,哈尔滨市,双非,公办,未上榜/独立榜,http://www.hrbipe.edu.cn/zzsjy/bsszsh.htm,,,0451-82733741,http://www.hrbipe.edu.cn/yjsy/,,,,,,,,
8,哈尔滨商业大学,哈尔滨市,双非,公办,320,https://www.hrbcu.edu.cn/zsjy.htm,,,,https://yjsc.hrbcu.edu.cn/,,,,https://gjjyxy.hrbcu.edu.cn/,,,,
9,哈尔滨学院,哈尔滨市,双非,公办,,http://jypt.hrbu.edu.cn/frontpage/hrbu/html/index.html,,,,http://www.hrbu.edu.cn/yjsc/index.htm,,,,http://www.hrbu.edu.cn/ws/,,,,
10,哈尔滨师范大学,哈尔滨市,双非,公办,240,,,,,,,,,,,,,官网不可达：全部方式失败
11,哈尔滨建筑科技职业大学,哈尔滨市,双非,公办,,,,,,,,,,,,,,官网不可达：全部方式失败
12,哈尔滨理工大学,哈尔滨市,双非,公办,200,http://www.hrbust.edu.cn/zsjy.htm,,,,https://graduate.hrbust.edu.cn/3907/list.htm,,,,http://www.hrbust.edu.cn/gjhz.htm,,,,
13,哈尔滨职业技术大学,哈尔滨市,双非,公办,,http://hzjxy.jysd.com,,,,,,,,http://www.hrbzy.edu.cn/gjxy,,hvtcgjhzjlc@163.com,0451-86662281; 0451-86669663,
14,哈尔滨金融学院,哈尔滨市,双非,公办,560,,,,,,,,,,,,,官网不可达：全部方式失败
15,哈尔滨音乐学院,哈尔滨市,双非,公办,,http://www.hrbcm.edu.cn/jycs.htm,,,,http://www.hrbcm.edu.cn/zsgz/yjszs.htm,,,,http://www.hrbcm.edu.cn/xxgk1/dwjlyhzxx.htm,,,,
16,黑龙江中医药大学,哈尔滨市,双非,公办,270,http://zsjyc.hljucm.net/,,,,http://yjsy.hljucm.net/,,bozhongyuan@163.com,,http://www.hljucm.net/index/dwjl.htm,,,,
17,黑龙江农业工程职业技术大学,哈尔滨市,双非,公办,,,,,,https://mp.weixin.qq.com/s/E2a4ndPa1YJsCLfefgdWLA,跳转二维码,,,,,,,
18,黑龙江大学,哈尔滨市,双非,公办,145,http://job.hlju.edu.cn,,,,http://yjsy.hlju.edu.cn/,,,0451-86604902,,,,,
19,黑龙江工程学院,哈尔滨市,双非,公办,570,,,,,,,,,,,,,官网不可达：全部方式失败
20,黑龙江科技大学,哈尔滨市,双非,公办,350,http://job.usth.edu.cn/,,,,https://gs.usth.edu.cn/,,,,https://iceo.usth.edu.cn/,,,,
